Тип шуму,sigma,Фільтр,MSE,"PSNR, дБ",SSIM
гаусів,0.05,без фільтра,144.45,26.53,0.5720
гаусів,0.05,Gaussian,124.31,27.19,0.7826
гаусів,0.05,Median,117.27,27.44,0.8274
гаусів,0.05,Bilateral,42.52,31.84,0.8273
сіль-перець,0.05,без фільтра,1141.78,17.55,0.4149
сіль-перець,0.05,Gaussian,192.28,25.29,0.6668
сіль-перець,0.05,Median,104.88,27.92,0.8970
сіль-перець,0.05,Bilateral,1123.34,17.63,0.3975
гаусів,0.1,без фільтра,551.24,20.72,0.3597
гаусів,0.1,Gaussian,162.38,26.03,0.6908
гаусів,0.1,Median,156.66,26.18,0.7118
гаусів,0.1,Bilateral,100.49,28.11,0.6788
сіль-перець,0.1,без фільтра,2313.72,14.49,0.2391
сіль-перець,0.1,Gaussian,311.32,23.20,0.5548
сіль-перець,0.1,Median,113.63,27.58,0.8924
сіль-перець,0.1,Bilateral,2264.74,14.58,0.2263
гаусів,0.2,без фільтра,1951.20,15.23,0.1970
гаусів,0.2,Gaussian,317.70,23.11,0.5434
гаусів,0.2,Median,284.62,23.59,0.5268
гаусів,0.2,Bilateral,694.52,19.71,0.3159
сіль-перець,0.2,без фільтра,4589.29,11.51,0.1337
сіль-перець,0.2,Gaussian,623.62,20.18,0.4339
сіль-перець,0.2,Median,134.44,26.85,0.8831
сіль-перець,0.2,Bilateral,4505.89,11.59,0.1252
